"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 18 13:46:54 GMT 2023","Mon Dec 18 13:46:54 GMT 2023","238","","Visual Regression","","","","Should match https://example.com in resolution iphone-6",""
"passed","Mon Dec 18 13:46:55 GMT 2023","Mon Dec 18 13:46:55 GMT 2023","14","","Cypress Tests with Docker","","","","should load h1 element",""
"passed","Mon Dec 18 13:46:26 GMT 2023","Mon Dec 18 13:46:26 GMT 2023","235","","Visual Regression","","","","Should load account activity",""
"passed","Mon Dec 18 13:46:55 GMT 2023","Mon Dec 18 13:46:55 GMT 2023","44","","Cypress Tests with Docker","","","","should load website",""
"passed","Mon Dec 18 13:46:55 GMT 2023","Mon Dec 18 13:46:55 GMT 2023","202","","Single Element Snapshot","","","","Should match a single element on the page",""
"passed","Mon Dec 18 13:46:54 GMT 2023","Mon Dec 18 13:46:55 GMT 2023","325","","Visual Regression","","","","Should match https://example.com in resolution 1200,800",""
"passed","Mon Dec 18 13:47:01 GMT 2023","Mon Dec 18 13:47:02 GMT 2023","879","","Visual Regression -Login Page","","","","Tablet Layout",""
"passed","Mon Dec 18 13:46:38 GMT 2023","Mon Dec 18 13:46:39 GMT 2023","444","","Verify drag and drop","","","","should drag and drop a draggable item - example 1",""
"passed","Mon Dec 18 13:46:40 GMT 2023","Mon Dec 18 13:46:47 GMT 2023","7223","","Verify drag and drop","","","","should able to drag and drop element on Material Angular example page",""
"passed","Mon Dec 18 13:46:27 GMT 2023","Mon Dec 18 13:46:32 GMT 2023","5591","","Visual Regression","","","","should verify the content of the pdf file",""
"passed","Mon Dec 18 13:46:54 GMT 2023","Mon Dec 18 13:46:54 GMT 2023","264","","Visual Regression","","","","Should match https://example.com in resolution ipad-2",""
"passed","Mon Dec 18 13:47:08 GMT 2023","Mon Dec 18 13:47:09 GMT 2023","1112","","Visual Testing with Percy and Cypress","","","","should take percy snapshot",""
"passed","Mon Dec 18 13:47:02 GMT 2023","Mon Dec 18 13:47:03 GMT 2023","855","","Visual Regression -Login Page","","","","Mobile Layout",""
"passed","Mon Dec 18 13:46:26 GMT 2023","Mon Dec 18 13:46:27 GMT 2023","359","","Visual Regression","","","","Data table snapshot",""
"passed","Mon Dec 18 13:47:00 GMT 2023","Mon Dec 18 13:47:01 GMT 2023","1051","","Visual Regression -Login Page","","","","Desktop Layout",""
